"","index","starts_x","starts_y","index_start","ends_x","ends_y","index_end"
"1350",1350,403103.489059886,4721352.81156553,15,377943.303320447,4667787.35988757,93
"1351",1351,403103.489059886,4721352.81156553,15,378143.592554563,4666807.36435846,92
"1352",1352,403103.489059886,4721352.81156553,15,378343.88178868,4665827.36882934,91
"1353",1353,403103.489059886,4721352.81156553,15,378769.976570416,4724189.55149553,155
"1354",1354,403103.489059886,4721352.81156553,15,378814.266512756,4665142.36416755,90
"1355",1355,403103.489059886,4721352.81156553,15,379654.931797439,4724655.77168016,156
"1356",1356,403103.489059886,4721352.81156553,15,379808.078874725,4665029.03277919,89
"1357",1357,403103.489059886,4721352.81156553,15,380539.887024462,4725121.99186479,157
"1358",1358,403103.489059886,4721352.81156553,15,380801.891236695,4664915.70139082,88
"1359",1359,403103.489059886,4721352.81156553,15,381424.842251486,4725588.21204942,158
"1360",1360,403103.489059886,4721352.81156553,15,381795.703598664,4664802.37000246,87
"1361",1361,403103.489059886,4721352.81156553,15,382309.797478509,4726054.43223405,159
"1362",1362,403103.489059886,4721352.81156553,15,382789.515960634,4664689.0386141,86
"1363",1363,403103.489059886,4721352.81156553,15,383194.752705532,4726520.65241868,160
"1364",1364,403103.489059886,4721352.81156553,15,383783.328322604,4664575.70722574,85
"1365",1365,403103.489059886,4721352.81156553,15,384079.707932555,4726986.87260331,161
"1366",1366,403103.489059886,4721352.81156553,15,384777.140684573,4664462.37583737,84
"1367",1367,403103.489059886,4721352.81156553,15,384964.663159578,4727453.09278794,162
"1368",1368,403103.489059886,4721352.81156553,15,385770.953046543,4664349.04444901,83
"1369",1369,403103.489059886,4721352.81156553,15,385849.618386602,4727919.31297257,163
"1370",1370,403103.489059886,4721352.81156553,15,386734.573613625,4728385.5331572,164
"1371",1371,403103.489059886,4721352.81156553,15,386764.765408513,4664235.71306065,82
"1372",1372,403103.489059886,4721352.81156553,15,387619.528840648,4728851.75334183,165
"1373",1373,403103.489059886,4721352.81156553,15,387758.577770482,4664122.38167229,81
"1374",1374,403103.489059886,4721352.81156553,15,388504.484067671,4729317.97352646,166
"1375",1375,403103.489059886,4721352.81156553,15,388752.390132452,4664009.05028392,80
"1376",1376,403103.489059886,4721352.81156553,15,389389.439294694,4729784.19371109,167
"1377",1377,403103.489059886,4721352.81156553,15,389746.202494421,4663895.71889556,79
"1378",1378,403103.489059886,4721352.81156553,15,390274.394521718,4730250.41389572,168
"1379",1379,403103.489059886,4721352.81156553,15,390740.014856391,4663782.3875072,78
"1380",1380,403103.489059886,4721352.81156553,15,391159.349748741,4730716.63408035,169
"1381",1381,403286.393158328,4720369.42298254,16,368930.287785204,4711887.15869783,138
"1382",1382,403286.393158328,4720369.42298254,16,369130.577019321,4710907.16316871,137
"1383",1383,403286.393158328,4720369.42298254,16,369330.866253437,4709927.1676396,136
"1384",1384,403286.393158328,4720369.42298254,16,369367.466271742,4712662.99613934,139
"1385",1385,403286.393158328,4720369.42298254,16,369531.155487554,4708947.17211048,135
"1386",1386,403286.393158328,4720369.42298254,16,369731.44472167,4707967.17658136,134
"1387",1387,403286.393158328,4720369.42298254,16,369931.733955787,4706987.18105225,133
"1388",1388,403286.393158328,4720369.42298254,16,369950.95875048,4713454.23086039,140
"1389",1389,403286.393158328,4720369.42298254,16,370132.023189903,4706007.18552313,132
"1390",1390,403286.393158328,4720369.42298254,16,370332.31242402,4705027.18999401,131
"1391",1391,403286.393158328,4720369.42298254,16,370529.622899058,4714268.03220298,141
"1392",1392,403286.393158328,4720369.42298254,16,370532.601658136,4704047.1944649,130
"1393",1393,403286.393158328,4720369.42298254,16,370732.890892253,4703067.19893578,129
"1394",1394,403286.393158328,4720369.42298254,16,370933.180126369,4702087.20340666,128
"1395",1395,403286.393158328,4720369.42298254,16,371133.469360486,4701107.20787754,127
"1396",1396,403286.393158328,4720369.42298254,16,371221.276730256,4714949.29200092,142
"1397",1397,403286.393158328,4720369.42298254,16,371333.758594602,4700127.21234843,126
"1398",1398,403286.393158328,4720369.42298254,16,371534.047828719,4699147.21681931,125
"1399",1399,403286.393158328,4720369.42298254,16,371734.337062835,4698167.22129019,124
"1400",1400,403286.393158328,4720369.42298254,16,371934.626296952,4697187.22576108,123
"1401",1401,403286.393158328,4720369.42298254,16,372134.915531068,4696207.23023196,122
"1402",1402,403286.393158328,4720369.42298254,16,372143.625363278,4715336.30623005,143
"1403",1403,403286.393158328,4720369.42298254,16,372335.204765185,4695227.23470284,121
"1404",1404,403286.393158328,4720369.42298254,16,372535.493999301,4694247.23917373,120
"1405",1405,403286.393158328,4720369.42298254,16,372735.783233418,4693267.24364461,119
"1406",1406,403286.393158328,4720369.42298254,16,372936.072467534,4692287.24811549,118
"1407",1407,403286.393158328,4720369.42298254,16,372994.111214269,4715856.40822564,144
"1408",1408,403286.393158328,4720369.42298254,16,373136.361701651,4691307.25258638,117
"1409",1409,403286.393158328,4720369.42298254,16,373336.650935767,4690327.25705726,116
"1410",1410,403286.393158328,4720369.42298254,16,373536.940169884,4689347.26152814,115
"1411",1411,403286.393158328,4720369.42298254,16,373737.229404,4688367.26599903,114
"1412",1412,403286.393158328,4720369.42298254,16,373820.180047789,4716420.37711663,145
"1413",1413,403286.393158328,4720369.42298254,16,373937.518638117,4687387.27046991,113
"1414",1414,403286.393158328,4720369.42298254,16,374137.807872233,4686407.27494079,112
"1415",1415,403286.393158328,4720369.42298254,16,374338.09710635,4685427.27941168,111
"1416",1416,403286.393158328,4720369.42298254,16,374538.386340466,4684447.28388256,110
"1417",1417,403286.393158328,4720369.42298254,16,374634.429329938,4716999.23724239,146
"1418",1418,403286.393158328,4720369.42298254,16,374738.675574583,4683467.28835344,109
"1419",1419,403286.393158328,4720369.42298254,16,374938.964808699,4682487.29282433,108
"1420",1420,403286.393158328,4720369.42298254,16,375139.254042816,4681507.29729521,107
"1421",1421,403286.393158328,4720369.42298254,16,375277.564558586,4717765.32084883,147
"1422",1422,403286.393158328,4720369.42298254,16,375339.543276932,4680527.30176609,106
"1423",1423,403286.393158328,4720369.42298254,16,375539.832511049,4679547.30623698,105
"1424",1424,403286.393158328,4720369.42298254,16,375740.121745165,4678567.31070786,104
"1425",1425,403286.393158328,4720369.42298254,16,375851.256593983,4718578.17507649,148
"1426",1426,403286.393158328,4720369.42298254,16,375940.410979282,4677587.31517874,103
"1427",1427,403286.393158328,4720369.42298254,16,376140.700213398,4676607.31964963,102
"1428",1428,403286.393158328,4720369.42298254,16,376319.248313749,4719462.19473952,149
"1429",1429,403286.393158328,4720369.42298254,16,376340.989447515,4675627.32412051,101
"1430",1430,403286.393158328,4720369.42298254,16,376541.278681631,4674647.32859139,100
"1431",1431,403286.393158328,4720369.42298254,16,376681.536735901,4720389.4935797,150
"1432",1432,403286.393158328,4720369.42298254,16,376741.567915748,4673667.33306228,99
"1433",1433,403286.393158328,4720369.42298254,16,376916.911942848,4721355.86076852,151
"1434",1434,403286.393158328,4720369.42298254,16,376918.911395806,4722355.30532974,152
"1435",1435,403286.393158328,4720369.42298254,16,376941.857149864,4672687.33753316,98
"1436",1436,403286.393158328,4720369.42298254,16,377000.06611637,4723257.11112627,153
"1437",1437,403286.393158328,4720369.42298254,16,377142.14638398,4671707.34200404,97
"1438",1438,403286.393158328,4720369.42298254,16,377342.435618097,4670727.34647493,96
"1439",1439,403286.393158328,4720369.42298254,16,377542.724852214,4669747.35094581,95
"1440",1440,403286.393158328,4720369.42298254,16,377743.01408633,4668767.35541669,94
"1441",1441,403286.393158328,4720369.42298254,16,377885.021343393,4723723.3313109,154
"1442",1442,403286.393158328,4720369.42298254,16,377943.303320447,4667787.35988757,93
"1443",1443,403286.393158328,4720369.42298254,16,378143.592554563,4666807.36435846,92
"1444",1444,403286.393158328,4720369.42298254,16,378343.88178868,4665827.36882934,91
"1445",1445,403286.393158328,4720369.42298254,16,378769.976570416,4724189.55149553,155
"1446",1446,403286.393158328,4720369.42298254,16,378814.266512756,4665142.36416755,90
"1447",1447,403286.393158328,4720369.42298254,16,379654.931797439,4724655.77168016,156
"1448",1448,403286.393158328,4720369.42298254,16,379808.078874725,4665029.03277919,89
"1449",1449,403286.393158328,4720369.42298254,16,380539.887024462,4725121.99186479,157
"1450",1450,403286.393158328,4720369.42298254,16,380801.891236695,4664915.70139082,88
"1451",1451,403286.393158328,4720369.42298254,16,381424.842251486,4725588.21204942,158
"1452",1452,403286.393158328,4720369.42298254,16,381795.703598664,4664802.37000246,87
"1453",1453,403286.393158328,4720369.42298254,16,382309.797478509,4726054.43223405,159
"1454",1454,403286.393158328,4720369.42298254,16,382789.515960634,4664689.0386141,86
"1455",1455,403286.393158328,4720369.42298254,16,383194.752705532,4726520.65241868,160
"1456",1456,403286.393158328,4720369.42298254,16,383783.328322604,4664575.70722574,85
"1457",1457,403286.393158328,4720369.42298254,16,384079.707932555,4726986.87260331,161
"1458",1458,403286.393158328,4720369.42298254,16,384777.140684573,4664462.37583737,84
"1459",1459,403286.393158328,4720369.42298254,16,384964.663159578,4727453.09278794,162
"1460",1460,403286.393158328,4720369.42298254,16,385770.953046543,4664349.04444901,83
"1461",1461,403286.393158328,4720369.42298254,16,385849.618386602,4727919.31297257,163
"1462",1462,403286.393158328,4720369.42298254,16,386734.573613625,4728385.5331572,164
"1463",1463,403286.393158328,4720369.42298254,16,386764.765408513,4664235.71306065,82
"1464",1464,403286.393158328,4720369.42298254,16,387619.528840648,4728851.75334183,165
"1465",1465,403286.393158328,4720369.42298254,16,387758.577770482,4664122.38167229,81
